product_name,category,img,SKUNO,sort_description,long_description,mrp,rp,weight,stock,temp_rate
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/7195768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-25-product.jpg,vmo1,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,250 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/9195768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-26-product.jpg,vmo2,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,251 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/2295768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-27-product.jpg,vmo3,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,252 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/4295768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-28-product.jpg,vmo4,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,253 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/7295768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-29-product.jpg,vmo5,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,254 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/1395768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-31-product.jpg,vmo6,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,255 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/3395768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-32-product.jpg,vmo7,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,256 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/5395768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-33-product.jpg,vmo8,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,257 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/8395768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-34-product.jpg,vmo9,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,258 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/1495768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-35-product.jpg,vmo10,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,259 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/5495768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-36-product.jpg,vmo11,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,260 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/7495768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-37-product.jpg,vmo12,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,261 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/9495768/bhaghalpuri-multicolour-silk-slash-cotton-sarees-38-product.jpg,vmo13,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,262 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/7806768/bhagalpuri-silk-saree-slash-bhagalpuri-5-product.jpg,vmo14,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,263 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/9806768/bhagalpuri-silk-saree-slash-bhagalpuri-6-product.jpg,vmo15,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,264 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/4745809/bhagalpuri-silk-saree-slash-bhagalpuri-7-product.jpg,vmo16,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,265 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/6745809/bhagalpuri-silk-saree-slash-bhagalpuri-8-product.jpg,vmo17,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,266 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/9055809/umiya-new-launch-bandhni-silk-saree-product.jpg,vmo18,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,267 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/1155809/umiya-new-launch-bandhni-silk-saree-1-product.jpg,vmo19,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,268 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/2155809/umiya-new-launch-bandhni-silk-saree-2-product.jpg,vmo20,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,269 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/5155809/umiya-new-launch-bandhni-silk-saree-3-product.jpg,vmo21,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,270 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/1255809/bhaghalpuri-multicolour-silk-slash-cotton-sarees-89-product.jpg,vmo22,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,271 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/3255809/bhaghalpuri-multicolour-silk-slash-cotton-sarees-90-product.jpg,vmo23,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,272 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/5255809/bhaghalpuri-multicolour-silk-slash-cotton-sarees-91-product.jpg,vmo24,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,273 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/8255809/bhaghalpuri-multicolour-silk-slash-cotton-sarees-92-product.jpg,vmo25,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,274 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/0355809/bhaghalpuri-multicolour-silk-slash-cotton-sarees-93-product.jpg,vmo26,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,275 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/3355809/bhaghalpuri-multicolour-silk-slash-cotton-sarees-94-product.jpg,vmo27,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,276 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/5355809/bhaghalpuri-multicolour-silk-slash-cotton-sarees-95-product.jpg,vmo28,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,277 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/8355809/bhaghalpuri-multicolour-silk-slash-cotton-sarees-96-product.jpg,vmo29,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,278 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/1455809/umiya-bhagalpuri-multicolour-sarees-product.jpg,vmo30,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,279 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/4455809/umiya-bhagalpuri-multicolour-sarees-1-product.jpg,vmo31,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,280 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/6455809/umiya-bhagalpuri-multicolour-sarees-2-product.jpg,vmo32,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,281 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/8455809/umiya-bhagalpuri-multicolour-sarees-3-product.jpg,vmo33,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,282 gm,100,599
BHAGALPURI MULTICOLOUR SAREES,Saree,http://images.voonik.com/0555809/umiya-bhagalpuri-multicolour-sarees-4-product.jpg,vmo34,It is a very good product and good material.this product use in all occasion.It has a good colour quality.,,299,200,283 gm,100,599
